image_path,annotation
E:\wei\glandular1536_20211217\images\TG2361434.svs_x13807_y31084_side1536.jpg,0 1351 1409 1517 1521;0 847 927 945 1067;0 556 484 725 594;
E:\wei\glandular1536_20211217\images\TG2361434.svs_x11404_y34186_side1536.jpg,0 683 661 853 875;
E:\wei\glandular1536_20211217\images\TG2361434.svs_x9492_y39287_side1536.jpg,0 727 679 809 858;
E:\wei\glandular1536_20211217\images\TG2361434.svs_x13469_y45727_side1536.jpg,0 740 720 797 816;
E:\wei\glandular1536_20211217\images\TG2361434.svs_x14185_y45224_side1536.jpg,0 24 1223 81 1319;0 681 686 856 851;
E:\wei\glandular1536_20211217\images\TG2361434.svs_x19516_y33276_side1536.jpg,0 601 808 669 923;0 887 611 918 732;
E:\wei\glandular1536_20211217\images\TG2361434.svs_x17201_y32298_side1536.jpg,0 721 713 816 824;
E:\wei\glandular1536_20211217\images\TG2361434.svs_x13888_y34330_side1536.jpg,0 720 689 817 847;
E:\wei\glandular1536_20211217\images\TG2361434.svs_x9828_y37458_side1536.jpg,0 718 742 818 795;
E:\wei\glandular1536_20211217\images\TG2361434.svs_x8774_y40898_side1536.jpg,0 368 635 494 780;0 1071 773 1142 885;
E:\wei\glandular1536_20211217\images\TG2361434.svs_x44165_y44046_side1536.jpg,0 692 720 845 816;
E:\wei\glandular1536_20211217\images\TG2361434.svs_x42479_y44260_side1536.jpg,0 705 729 832 808;
E:\wei\glandular1536_20211217\images\TG2361434.svs_x40446_y44252_side1536.jpg,0 731 704 806 833;
E:\wei\glandular1536_20211217\images\TG2361434.svs_x29920_y45683_side1536.jpg,0 713 719 823 818;
E:\wei\glandular1536_20211217\images\TG2361434.svs_x21867_y31663_side1536.jpg,0 777 816 862 964;0 681 577 753 717;
E:\wei\glandular1536_20211217\images\TG2361434.svs_x21577_y48634_side1536.jpg,0 705 726 831 811;
E:\wei\glandular1536_20211217\images\TG2361434.svs_x8300_y23139_side1536.jpg,0 642 664 895 873;
E:\wei\glandular1536_20211217\images\TG2361434.svs_x27335_y17348_side1536.jpg,0 413 723 523 792;0 1014 731 1125 829;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x24925_y50559_side1536.jpg,0 670 680 866 856;0 1230 71 1316 211;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x26915_y10892_side1536.jpg,0 723 687 813 850;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x27266_y9649_side1536.jpg,0 702 725 834 811;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x27095_y8739_side1536.jpg,0 717 684 819 852;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x26235_y8076_side1536.jpg,0 690 697 847 840;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x25935_y11093_side1536.jpg,0 724 698 812 839;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x24227_y48590_side1536.jpg,0 714 788 842 962;0 676 595 840 729;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x24293_y48133_side1536.jpg,0 648 1245 776 1419;0 610 1052 774 1186;0 796 355 892 482;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x20080_y47724_side1536.jpg,0 710 676 826 861;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x20715_y40569_side1536.jpg,0 726 699 811 837;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x24720_y40065_side1536.jpg,0 826 831 932 944;0 589 582 726 718;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x22736_y37101_side1536.jpg,0 991 659 1062 779;0 1020 898 1182 1073;0 400 492 471 610;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x18876_y29474_side1536.jpg,0 476 448 709 593;0 974 736 1053 872;0 428 961 618 1073;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x17599_y27081_side1536.jpg,0 722 702 815 834;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x15972_y27122_side1536.jpg,0 452 507 531 674;0 996 860 1096 1032;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x33269_y6818_side1536.jpg,0 794 706 1029 927;0 403 1167 513 1228;0 1048 277 1109 402;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x32801_y9200_side1536.jpg,0 565 511 971 1026;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x36321_y12708_side1536.jpg,0 373 705 560 953;0 972 573 1167 841;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x36266_y11847_side1536.jpg,0 667 645 869 891;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x31108_y12612_side1536.jpg,0 729 690 808 846;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x30399_y12071_side1536.jpg,0 1438 1231 1517 1387;0 693 712 844 825;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x19967_y11981_side1536.jpg,0 726 704 811 832;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x25461_y12307_side1536.jpg,0 710 731 827 806;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x25153_y17864_side1536.jpg,0 613 688 687 814;0 839 707 934 866;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x35674_y16690_side1536.jpg,1 1067 851 1167 999;0 359 570 479 652;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x48375_y16334_side1536.jpg,0 784 647 958 786;0 579 747 753 893;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x43436_y13472_side1536.jpg,0 569 593 967 943;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x43129_y12379_side1536.jpg,0 688 648 848 889;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x38300_y14114_side1536.jpg,1 586 761 693 909;0 839 664 956 738;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x33568_y18865_side1536.jpg,0 712 703 825 834;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x32520_y17722_side1536.jpg,0 684 716 852 820;0 56 1265 181 1379;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x47231_y20030_side1536.jpg,0 920 933 1028 1019;0 495 462 629 659;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x49207_y30050_side1536.jpg,0 848 706 973 924;0 546 638 707 805;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x45240_y31810_side1536.jpg,0 1042 574 1206 764;0 783 62 969 269;0 351 295 474 550;0 450 1318 553 1459;0 942 1283 1041 1458;0 132 912 249 1030;1 58 1258 200 1379;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x45345_y32517_side1536.jpg,0 345 611 448 752;0 837 576 936 751;0 1092 811 1187 937;0 27 205 144 323;0 24 854 221 1105;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x44323_y32370_side1536.jpg,0 1367 758 1470 899;0 461 677 747 931;0 878 392 1005 502;0 1049 352 1166 470;1 975 698 1117 819;0 1046 1001 1243 1252;0 350 980 434 1102;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x43501_y32133_side1536.jpg,0 1172 1217 1256 1339;0 530 775 618 941;0 238 123 407 393;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x42973_y31433_side1536.jpg,0 766 823 935 1093;0 645 505 729 652;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x44288_y30555_side1536.jpg,0 613 1049 719 1219;0 524 286 663 386;0 784 304 956 502;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x42965_y29742_side1536.jpg,0 673 706 863 831;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x41511_y30842_side1536.jpg,0 819 652 887 784;0 588 728 779 908;0 270 1280 402 1396;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x41008_y31562_side1536.jpg,0 1091 8 1282 188;0 773 560 905 676;0 580 816 815 1022;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x42103_y34321_side1536.jpg,0 756 921 894 1089;0 617 366 805 698;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x37934_y31971_side1536.jpg,0 747 447 820 525;0 683 988 825 1115;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x34723_y24244_side1536.jpg,0 916 425 1067 508;0 695 1026 838 1113;0 475 941 615 1133;0 1211 1175 1312 1277;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x35405_y25235_side1536.jpg,0 13 35 156 122;0 529 184 630 286;0 667 522 798 752;0 893 1239 1022 1366;0 786 760 924 817;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x31175_y27716_side1536.jpg,0 718 681 818 855;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x31272_y25551_side1536.jpg,0 701 722 836 814;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x26347_y19355_side1536.jpg,0 556 653 670 839;0 884 722 962 858;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x26021_y20715_side1536.jpg,0 705 699 832 837;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x25303_y20127_side1536.jpg,0 635 663 901 873;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x26260_y22032_side1536.jpg,0 853 721 1021 831;0 496 650 704 870;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x9955_y15599_side1536.jpg,0 755 925 869 1069;1 668 434 782 644;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x6916_y20302_side1536.jpg,1 956 518 1034 664;0 448 812 635 1081;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x5861_y21284_side1536.jpg,0 735 712 801 825;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x24369_y26783_side1536.jpg,0 629 983 748 1087;0 781 469 914 535;0 834 48 979 157;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x15864_y15119_side1536.jpg,0 659 679 877 857;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x15321_y19406_side1536.jpg,0 1040 819 1146 976;0 399 563 489 716;0 319 1092 418 1278;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x10542_y20247_side1536.jpg,0 678 680 859 856;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x10268_y30705_side1536.jpg,0 725 719 812 817;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x10826_y31441_side1536.jpg,0 717 695 819 842;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x8829_y31536_side1536.jpg,0 727 709 809 827;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x5110_y29967_side1536.jpg,0 827 808 895 920;1 645 609 707 737;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x12521_y36933_side1536.jpg,0 730 712 806 825;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x11861_y45827_side1536.jpg,0 693 705 843 832;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x12616_y46486_side1536.jpg,0 716 738 820 798;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x17592_y45317_side1536.jpg,0 545 670 621 740;0 917 778 990 884;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x15373_y44241_side1536.jpg,0 732 690 805 846;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x18738_y33177_side1536.jpg,0 655 542 768 695;0 742 826 907 1012;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x17817_y33686_side1536.jpg,0 731 707 805 830;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x27055_y35966_side1536.jpg,0 523 1003 590 1101;0 942 415 1019 555;0 1148 338 1273 409;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x34941_y31799_side1536.jpg,0 972 590 1052 747;0 795 818 995 990;0 353 471 698 793;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x39545_y38525_side1536.jpg,0 432 434 556 630;0 981 936 1105 1074;0 1234 1101 1413 1193;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x44978_y41088_side1536.jpg,0 605 624 931 912;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x40813_y48536_side1536.jpg,0 698 712 839 824;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x37471_y51350_side1536.jpg,0 739 728 798 808;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x38013_y40020_side1536.jpg,0 712 674 825 863;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x35817_y38684_side1536.jpg,0 717 723 819 814;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x41550_y42160_side1536.jpg,0 667 705 869 832;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x33508_y43712_side1536.jpg,0 714 718 823 819;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x34652_y43804_side1536.jpg,0 625 538 743 672;0 755 882 949 983;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x45508_y27054_side1536.jpg,1 715 678 821 859;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x43453_y21310_side1536.jpg,0 1018 749 1169 900;0 423 640 465 785;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x31367_y40957_side1536.jpg,0 700 670 836 866;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x32448_y40690_side1536.jpg,0 742 717 794 819;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x24840_y41446_side1536.jpg,0 663 679 762 756;0 791 752 856 887;
E:\wei\glandular1536_20211217\images\TG2361553.svs_x25869_y40782_side1536.jpg,0 492 798 601 991;0 914 544 1065 741;
E:\wei\glandular1536_20211217\images\TG2361803.svs_x34092_y9725_side1536.jpg,0 815 754 864 846;0 659 688 736 786;
E:\wei\glandular1536_20211217\images\TG2361803.svs_x42260_y20150_side1536.jpg,0 705 731 832 806;
E:\wei\glandular1536_20211217\images\TG2361803.svs_x31038_y13181_side1536.jpg,0 684 687 852 849;
E:\wei\glandular1536_20211217\images\TG2361803.svs_x14536_y21383_side1536.jpg,0 720 735 817 802;
E:\wei\glandular1536_20211217\images\TG2361803.svs_x36521_y31443_side1536.jpg,0 733 705 804 831;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x41224_y9989_side1536.jpg,0 492 696 593 818;0 956 722 1033 838;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x30877_y5879_side1536.jpg,0 457 575 586 704;0 931 836 1099 957;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x31392_y5774_side1536.jpg,0 416 941 584 1062;0 1011 487 1061 583;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x24706_y7658_side1536.jpg,0 814 558 964 650;0 554 882 742 982;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x15138_y15067_side1536.jpg,0 720 691 816 846;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x49613_y26032_side1536.jpg,0 706 733 830 803;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x45989_y27941_side1536.jpg,0 715 708 821 828;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x35573_y25732_side1536.jpg,0 716 714 820 822;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x41380_y17558_side1536.jpg,0 602 684 773 773;0 807 748 890 869;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x32568_y10647_side1536.jpg,0 630 855 792 946;0 769 581 881 690;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x34733_y10107_side1536.jpg,0 531 957 609 1065;0 906 437 1029 613;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x28255_y21252_side1536.jpg,0 745 691 893 788;0 674 756 762 838;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x32391_y23392_side1536.jpg,0 713 721 823 816;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x34183_y19809_side1536.jpg,0 731 706 806 830;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x22675_y20868_side1536.jpg,0 718 698 818 839;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x7624_y21265_side1536.jpg,0 776 497 1107 795;0 572 848 620 935;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x10733_y32125_side1536.jpg,0 581 544 770 682;1 813 845 911 1001;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x10683_y36552_side1536.jpg,0 656 771 739 930;1 761 613 919 759;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x45128_y34064_side1536.jpg,0 729 712 808 825;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x39363_y32295_side1536.jpg,0 706 730 830 806;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x23533_y33314_side1536.jpg,0 725 743 812 794;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x47614_y34785_side1536.jpg,0 687 677 849 860;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x45875_y39349_side1536.jpg,0 714 727 822 809;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x25089_y41155_side1536.jpg,0 717 711 819 825;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x32145_y35243_side1536.jpg,0 680 627 857 909;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x16695_y44759_side1536.jpg,0 676 682 860 854;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x19904_y48477_side1536.jpg,0 695 674 842 862;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x30084_y47336_side1536.jpg,0 583 512 953 1025;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x31034_y48144_side1536.jpg,0 673 702 863 834;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x31443_y46868_side1536.jpg,0 679 667 858 869;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x33936_y46950_side1536.jpg,0 718 730 818 807;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x32657_y46928_side1536.jpg,0 699 721 837 816;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x37134_y48730_side1536.jpg,0 729 725 808 812;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x16987_y40608_side1536.jpg,0 720 692 817 845;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x11455_y37887_side1536.jpg,0 691 601 751 700;0 387 849 482 923;0 1071 598 1134 707;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x22107_y41719_side1536.jpg,0 337 557 498 783;0 609 968 690 1104;0 1074 456 1165 545;0 1231 522 1329 643;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x23394_y42577_side1536.jpg,0 728 660 808 876;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x23886_y43314_side1536.jpg,0 689 708 848 828;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x53368_y31636_side1536.jpg,0 726 698 810 839;
E:\wei\glandular1536_20211217\images\TG2361827.svs_x41428_y14191_side1536.jpg,0 723 709 814 828;
E:\wei\glandular1536_20211217\images\TG2362046.svs_x17218_y18408_side1536.jpg,0 647 668 889 869;
E:\wei\glandular1536_20211217\images\TG2362046.svs_x33836_y7705_side1536.jpg,0 727 723 810 814;
E:\wei\glandular1536_20211217\images\TG2362046.svs_x52375_y23976_side1536.jpg,0 705 699 832 838;
E:\wei\glandular1536_20211217\images\TG2362046.svs_x7308_y34702_side1536.jpg,0 724 725 812 812;
E:\wei\glandular1536_20211217\images\TG2362046.svs_x24126_y26225_side1536.jpg,0 657 580 880 956;
E:\wei\glandular1536_20211217\images\TG2362046.svs_x20043_y27093_side1536.jpg,0 677 705 859 832;
E:\wei\glandular1536_20211217\images\TG2362046.svs_x30441_y32536_side1536.jpg,0 709 710 827 826;
E:\wei\glandular1536_20211217\images\TG2362046.svs_x36298_y5401_side1536.jpg,0 692 705 844 832;
E:\wei\glandular1536_20211217\images\TG2362046.svs_x38709_y42523_side1536.jpg,0 684 707 852 829;
E:\wei\glandular1536_20211217\images\TG2362046.svs_x45116_y38705_side1536.jpg,0 840 667 972 799;1 559 731 704 876;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x19341_y25000_side1536.jpg,0 723 712 814 824;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x33136_y3597_side1536.jpg,0 691 660 845 876;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x31897_y3705_side1536.jpg,0 712 710 825 827;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x30010_y4471_side1536.jpg,0 731 746 806 791;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x18337_y4378_side1536.jpg,0 1025 803 1142 887;0 416 660 492 725;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x14254_y22602_side1536.jpg,0 915 948 1040 1010;0 1096 741 1188 868;0 361 530 429 586;0 217 680 273 736;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x12747_y22712_side1536.jpg,0 712 701 825 836;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x11109_y25077_side1536.jpg,0 763 746 893 802;0 564 204 694 278;0 881 1248 933 1342;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x8068_y27325_side1536.jpg,0 1081 639 1171 763;0 335 812 485 860;0 208 822 308 897;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x8077_y28173_side1536.jpg,0 735 713 802 824;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x21634_y10795_side1536.jpg,1 714 586 823 951;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x20236_y18273_side1536.jpg,0 923 892 1018 976;0 690 559 798 647;0 521 709 610 874;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x18751_y20006_side1536.jpg,0 509 863 618 970;0 1259 371 1323 476;0 1410 130 1469 245;0 567 162 662 216;0 913 1312 1034 1382;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x16581_y19775_side1536.jpg,0 887 415 1100 573;0 521 990 566 1097;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x15727_y21865_side1536.jpg,0 513 479 596 556;0 946 982 1019 1056;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x30115_y12911_side1536.jpg,0 729 717 808 820;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x30070_y14009_side1536.jpg,0 702 694 835 842;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x26799_y14196_side1536.jpg,0 998 890 1092 961;0 731 547 796 653;0 447 892 536 980;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x26582_y16110_side1536.jpg,0 722 715 815 821;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x24788_y16096_side1536.jpg,0 684 704 852 832;0 36 89 134 165;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x24097_y18515_side1536.jpg,0 661 653 876 883;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x24745_y20465_side1536.jpg,0 731 727 805 810;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x24300_y21615_side1536.jpg,0 717 729 820 808;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x44325_y14035_side1536.jpg,0 347 676 441 750;0 1064 782 1221 866;0 1278 575 1374 650;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x46898_y21541_side1536.jpg,0 693 683 844 854;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x40948_y13433_side1536.jpg,0 619 592 733 656;0 677 878 761 949;0 789 665 933 787;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x40150_y8998_side1536.jpg,0 741 710 795 826;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x31569_y24932_side1536.jpg,0 693 636 770 762;0 764 781 848 895;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x30806_y25526_side1536.jpg,0 1456 42 1533 168;0 725 690 811 846;0 88 49 173 165;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x30187_y24807_side1536.jpg,0 707 768 792 884;0 705 664 869 758;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x4394_y27477_side1536.jpg,0 707 697 829 840;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x35386_y19929_side1536.jpg,0 524 976 650 1113;0 486 490 582 654;0 971 427 1034 559;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x23363_y26970_side1536.jpg,0 697 663 840 873;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x21716_y25956_side1536.jpg,0 744 703 792 833;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x23786_y25747_side1536.jpg,0 755 792 862 876;0 643 612 814 792;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x22168_y24137_side1536.jpg,0 705 707 831 830;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x23352_y24165_side1536.jpg,0 370 757 449 838;0 1097 676 1156 802;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x20960_y22989_side1536.jpg,0 1078 842 1173 959;0 167 522 265 570;0 375 602 447 672;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x25426_y3195_side1536.jpg,0 742 718 795 819;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x24519_y3171_side1536.jpg,0 676 769 772 839;0 785 696 840 770;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x1755_y28783_side1536.jpg,0 713 722 823 815;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x13960_y31799_side1536.jpg,0 458 898 567 1025;0 990 505 1059 644;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x12714_y31287_side1536.jpg,0 697 644 749 709;0 722 828 819 891;0 782 698 845 772;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x16559_y31845_side1536.jpg,0 542 724 787 873;0 830 657 915 821;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x17125_y27391_side1536.jpg,0 731 685 805 851;0 1417 1205 1493 1346;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x19889_y3766_side1536.jpg,0 726 701 810 835;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x27725_y7231_side1536.jpg,0 488 887 629 998;0 755 751 818 871;0 923 519 1033 668;0 1331 879 1447 1013;0 1388 402 1484 450;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x30841_y13967_side1536.jpg,0 706 738 831 798;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x31968_y15469_side1536.jpg,1 844 614 932 745;0 554 801 742 912;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x36593_y16465_side1536.jpg,0 734 717 803 820;0 1319 1205 1453 1311;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x37387_y16992_side1536.jpg,0 877 750 1012 862;0 525 678 659 784;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x38460_y18698_side1536.jpg,0 721 742 816 795;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x36622_y18731_side1536.jpg,0 861 810 965 926;0 554 619 693 718;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x35664_y19416_side1536.jpg,0 208 1003 304 1167;0 693 940 756 1072;0 759 465 867 596;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x35873_y28054_side1536.jpg,0 642 600 895 937;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x27269_y44735_side1536.jpg,0 701 700 835 836;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x31740_y44927_side1536.jpg,0 614 737 719 912;0 834 657 905 768;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x37387_y46121_side1536.jpg,0 688 346 865 504;0 864 810 973 942;0 587 1058 649 1166;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x17330_y45579_side1536.jpg,0 730 683 806 853;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x9758_y40306_side1536.jpg,0 1095 681 1181 849;0 366 724 431 818;0 328 886 405 1013;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x17441_y40839_side1536.jpg,0 740 719 797 818;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x12417_y40049_side1536.jpg,0 680 700 857 836;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x13474_y35863_side1536.jpg,0 884 724 957 856;0 1005 681 1150 745;0 351 252 412 313;0 1125 1205 1186 1304;
E:\wei\glandular1536_20211217\images\TG2362129.svs_x16214_y36933_side1536.jpg,0 695 613 863 787;0 1342 925 1485 1031;0 838 416 997 493;0 149 1015 257 1149;0 75 790 172 923;
